id,courseid,testid,stuid,Tflist,knowledgeList,score,totalScore
353,15600,50039,5089,"0,0,1,1,1,0,1,0,1,1","1_1_3,1_1_1",12,20
354,15600,50040,5113,"1,1,1,0,1,1,1,1,0,1","1_1_3,1_1_1,1_1_2",16,20
355,15600,50039,5109,"0,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
356,15600,50039,5108,"1,0,1,1,1,0,1,0,1,1","1_1_3,1_1_1",14,20
357,15600,50039,5092,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",20,20
358,15600,50039,5062,"1,1,1,1,1,1,1,0,1,1","1_1_3,1_1_1",18,20
359,15600,50039,5069,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",20,20
360,15600,50039,5065,"1,1,1,1,1,1,1,0,0,1","1_1_3,1_1_1",16,20
361,15600,50039,5088,"1,1,1,0,1,1,1,0,1,1","1_1_3,1_1_1",16,20
362,15600,50039,5067,"0,1,1,1,0,1,1,1,1,1","1_1_3,1_1_1",16,20
363,15600,50039,5063,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",20,20
364,15600,50039,5084,"0,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
365,15600,50039,5100,"0,1,0,1,1,1,1,0,1,1","1_1_3,1_1_1",14,20
366,15600,50039,5066,"1,0,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
367,15600,50041,5106,"0,0,1,1,1,1,0,0,1,0","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",10,20
368,15600,50040,5064,"1,1,0,1,1,1,1,1,1,1","1_1_3,1_1_1,1_1_2",18,20
369,15600,50039,5060,"1,0,0,1,1,1,1,0,1,1","1_1_3,1_1_1",14,20
370,15600,50040,5104,"1,1,1,1,1,1,0,1,1,1","1_1_3,1_1_1,1_1_2",18,20
371,15600,50039,5056,"1,0,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
372,15600,50039,5072,"1,0,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
373,15600,50039,5075,"0,0,1,1,1,1,1,1,1,1","1_1_3,1_1_1",16,20
374,15600,50039,5115,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",20,20
375,15600,50040,5104,"1,1,1,1,1,1,0,1,1,1","1_1_3,1_1_1,1_1_2",18,20
376,15600,50040,5073,"1,1,0,1,0,0,1,1,1,1","1_1_3,1_1_1,1_1_2",14,20
377,15600,50039,5063,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",20,20
378,15600,50040,5059,"1,1,0,1,1,0,1,1,0,0","1_1_3,1_1_1,1_1_2",12,20
379,15600,50040,5089,"1,1,1,1,0,1,1,1,1,1","1_1_3,1_1_1,1_1_2",18,20
381,15600,50039,5071,"0,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
382,15600,50039,5077,"1,0,1,1,1,1,1,0,1,1","1_1_3,1_1_1",16,20
383,15600,50040,5074,"1,1,1,0,0,1,1,1,1,1","1_1_3,1_1_1,1_1_2",16,20
384,15600,50041,5098,"0,0,1,1,1,1,1,0,1,1","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",14,20
385,15600,50040,5070,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1,1_1_2",20,20
386,15600,50039,5102,"1,0,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
387,15600,50039,5111,"0,0,1,0,1,1,1,0,1,0","1_1_3,1_1_1",10,20
388,15600,50039,5103,"0,1,1,1,1,0,1,1,1,1","1_1_3,1_1_1",16,20
389,15600,50039,5095,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",20,20
390,15600,50039,5077,"1,0,1,1,1,1,1,0,1,1","1_1_3,1_1_1",16,20
391,15600,50039,5103,"0,1,1,1,1,0,1,1,1,1","1_1_3,1_1_1",16,20
392,15600,50039,5107,"1,0,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
393,15600,50039,5111,"0,0,1,0,1,1,1,0,1,0","1_1_3,1_1_1",10,20
394,15600,50040,5062,"1,1,1,1,1,0,1,1,1,1","1_1_3,1_1_1,1_1_2",18,20
395,15600,50040,5119,"1,1,1,1,0,1,1,1,1,1","1_1_3,1_1_1,1_1_2",18,20
396,15600,50041,5093,"1,0,1,1,1,1,1,0,1,1","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",16,20
397,15600,50039,5101,"0,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
398,15600,50040,5067,"1,1,1,1,1,0,1,0,0,0","1_1_3,1_1_1,1_1_2",12,20
399,15600,50039,5086,"0,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
400,15600,50039,5058,"0,0,1,1,1,1,1,1,1,1","1_1_3,1_1_1",16,20
401,15600,50039,5055,"0,0,1,1,1,1,1,0,1,1","1_1_3,1_1_1",14,20
402,15600,50040,5076,"1,1,1,1,0,0,1,0,1,1","1_1_3,1_1_1,1_1_2",14,20
403,15600,50040,5108,"1,0,0,0,1,1,1,1,1,1","1_1_3,1_1_1,1_1_2",14,20
404,15600,50039,5078,"0,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
405,15600,50040,5060,"1,0,0,1,1,1,1,1,1,1","1_1_3,1_1_1,1_1_2",16,20
406,15600,50039,5085,"0,1,0,1,0,1,1,0,1,1","1_1_3,1_1_1",12,20
407,15600,50039,5055,"0,0,1,1,1,1,1,0,1,1","1_1_3,1_1_1",14,20
408,15600,50039,5111,"0,0,1,0,1,1,1,0,1,0","1_1_3,1_1_1",10,20
409,15600,50040,5100,"1,1,0,0,0,1,1,1,0,1","1_1_3,1_1_1,1_1_2",12,20
410,15600,50040,5063,"1,1,1,1,1,1,1,0,1,1","1_1_3,1_1_1,1_1_2",18,20
411,15600,50039,5111,"0,0,1,0,1,1,1,0,1,0","1_1_3,1_1_1",10,20
412,15600,50040,5072,"1,1,1,1,1,1,1,0,1,1","1_1_3,1_1_1,1_1_2",18,20
413,15600,50040,5080,"1,1,1,1,0,1,1,1,1,1","1_1_3,1_1_1,1_1_2",18,20
414,15600,50039,5094,"0,0,1,1,1,1,1,1,1,0","1_1_3,1_1_1",14,20
415,15600,50039,5055,"0,0,1,1,1,1,1,0,1,1","1_1_3,1_1_1",14,20
416,15600,50040,5106,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1,1_1_2",20,20
417,15600,50039,5096,"1,0,1,1,1,1,1,0,1,0","1_1_3,1_1_1",14,20
418,15600,50039,5099,"0,0,0,1,0,1,1,1,1,0","1_1_3,1_1_1",10,20
419,15600,50039,5112,"0,1,1,1,1,1,1,0,1,1","1_1_3,1_1_1",16,20
420,15600,50044,5061,"0,0,1,1,1,1,1,1,1,1","2_4_6,2_4_1,2_4_2,2_4_3,2_4_4,2_4_5,2_5_2,2_5_3,2_1_1",16,20
421,15600,50039,5099,"0,0,0,1,0,1,1,1,1,0","1_1_3,1_1_1",10,20
422,15600,50042,5098,"0,1,0,1,1,1,1,1,0,1","2_3_1,2_1_4,2_2_2,2_3_5,2_2_3,3_1_3,3_1_5,3_2_4,3_2_1",16,20
423,15600,50039,5099,"0,0,0,1,0,1,1,1,1,0","1_1_3,1_1_1",10,20
424,15600,50040,5084,"1,1,1,1,1,0,1,1,1,1","1_1_3,1_1_1,1_1_2",18,20
425,15600,50039,5097,"0,1,1,1,0,1,1,0,1,1","1_1_3,1_1_1",14,20
426,15600,50040,5092,"1,1,1,1,0,1,1,1,1,1","1_1_3,1_1_1,1_1_2",18,20
427,15600,50041,5113,"1,1,1,1,1,1,1,0,1,1","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",18,20
428,15600,50041,5089,"1,1,1,1,1,1,1,0,1,1","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",18,20
429,15600,50041,5073,"0,0,1,1,1,1,1,0,1,1","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",14,20
430,15600,50040,5065,"1,1,1,1,0,0,1,1,1,1","1_1_3,1_1_1,1_1_2",16,20
431,15600,50040,5088,"1,1,1,1,1,0,0,1,1,1","1_1_3,1_1_1,1_1_2",16,20
432,15600,50039,5085,"0,1,0,1,0,1,1,0,1,1","1_1_3,1_1_1",12,20
433,15600,50040,5105,"1,1,1,1,0,1,1,1,1,1","1_1_3,1_1_1,1_1_2",18,20
434,15600,50040,5075,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1,1_1_2",20,20
435,15600,50039,5094,"0,0,1,1,1,1,1,1,1,0","1_1_3,1_1_1",14,20
436,15600,50040,5079,"1,1,1,1,0,0,1,1,1,1","1_1_3,1_1_1,1_1_2",16,20
437,15600,50040,5066,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1,1_1_2",20,20
438,15600,50039,5081,"0,1,1,1,1,0,1,1,1,1","1_1_3,1_1_1",16,20
439,15600,50040,5077,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1,1_1_2",20,20
440,15600,50040,5107,"1,1,0,1,1,1,1,1,1,1","1_1_3,1_1_1,1_1_2",18,20
441,15600,50039,5083,"1,0,1,1,1,1,1,0,0,1","1_1_3,1_1_1",14,20
442,15600,50040,5103,"1,1,0,1,0,1,1,1,1,1","1_1_3,1_1_1,1_1_2",16,20
443,15600,50039,5090,"0,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
444,15600,50039,5114,"0,1,0,1,1,1,1,1,1,1","1_1_3,1_1_1",16,20
445,15600,50041,5116,"1,0,1,1,1,0,1,1,1,1","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",16,20
446,15600,50040,5057,"1,1,1,1,1,1,1,0,1,1","1_1_3,1_1_1,1_1_2",18,20
447,15600,50039,5087,"1,0,1,1,1,1,1,0,1,1","1_1_3,1_1_1",16,20
448,15600,50041,5070,"1,1,1,1,1,1,1,0,1,1","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",18,20
449,15600,50040,5056,"1,1,1,0,0,1,1,1,0,0","1_1_3,1_1_1,1_1_2",12,20
451,15600,50040,5069,"1,1,1,1,0,0,0,0,0,0","1_1_3,1_1_1,1_1_2",8,20
452,15600,50040,5115,"1,1,1,1,0,1,0,1,1,1","1_1_3,1_1_1,1_1_2",16,20
453,15600,50039,5061,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",20,20
454,15600,50039,5082,"1,0,1,1,1,1,1,0,1,1","1_1_3,1_1_1",16,20
455,15600,50042,5106,"0,1,1,1,1,0,1,1,1,1","2_3_1,2_1_4,2_2_2,2_3_5,2_2_3,3_1_3,3_1_5,3_2_4,3_2_1",18,20
456,15600,50040,5068,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1,1_1_2",20,20
457,15600,50042,5093,"0,1,1,0,1,1,1,1,0,1","2_3_1,2_1_4,2_2_2,2_3_5,2_2_3,3_1_3,3_1_5,3_2_4,3_2_1",16,20
458,15600,50040,5109,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1,1_1_2",20,20
459,15600,50041,5119,"1,1,1,1,1,1,1,0,1,1","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",18,20
460,15600,50040,5069,"1,1,1,1,0,0,0,0,0,0","1_1_3,1_1_1,1_1_2",8,20
461,15600,50040,5101,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1,1_1_2",20,20
462,15600,50040,5095,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1,1_1_2",20,20
463,15600,50040,5110,"1,1,1,0,0,1,1,1,0,1","1_1_3,1_1_1,1_1_2",14,20
464,15600,50040,5102,"1,1,1,1,1,1,0,1,1,1","1_1_3,1_1_1,1_1_2",18,20
465,15600,50040,5091,"1,1,0,1,0,1,0,0,0,1","1_1_3,1_1_1,1_1_2",10,20
466,15600,50040,5058,"1,1,1,1,0,1,1,1,1,1","1_1_3,1_1_1,1_1_2",18,20
467,15600,50040,5071,"1,1,1,0,0,0,1,1,1,1","1_1_3,1_1_1,1_1_2",14,20
468,15600,50040,5069,"1,1,1,1,0,0,0,0,0,0","1_1_3,1_1_1,1_1_2",8,20
469,15600,50041,5074,"1,1,1,1,1,1,1,0,1,1","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",18,20
470,15600,50040,5086,"1,0,1,1,0,0,1,1,1,1","1_1_3,1_1_1,1_1_2",14,20
471,15600,50040,5078,"1,1,1,0,0,1,1,1,0,1","1_1_3,1_1_1,1_1_2",14,20
472,15600,50043,5098,"0,0,1,1,1,1,1,1,1,1","2_5_3,2_4_6,2_4_1,2_5_2",16,20
473,15600,50042,5059,"1,1,1,1,1,1,1,1,0,1","2_3_1,2_1_4,2_2_2,2_3_5,2_2_3,3_1_3,3_1_5,3_2_4,3_2_1",18,20
474,15600,50039,5117,"1,1,1,1,0,0,1,0,1,1","1_1_3,1_1_1",14,20
475,15600,50040,5111,"1,1,1,0,1,1,0,1,1,1","1_1_3,1_1_1,1_1_2",16,20
476,15600,50041,5067,"1,1,1,1,1,0,1,0,1,0","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",14,20
477,15600,50041,5060,"1,0,0,0,1,0,1,0,1,0","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",8,20
478,15600,50041,5064,"1,0,1,1,1,1,0,0,1,1","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",14,20
479,15600,50041,5104,"1,0,1,1,1,1,1,0,1,1","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",16,20
480,15600,50040,5069,"1,1,1,1,0,0,0,0,0,0","1_1_3,1_1_1,1_1_2",8,20
481,15600,50042,5073,"1,1,0,0,1,0,0,1,1,0","2_3_1,2_1_4,2_2_2,2_3_5,2_2_3,3_1_3,3_1_5,3_2_4,3_2_1",10,20
482,15600,50041,5062,"1,1,1,1,1,1,1,0,1,1","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",18,20
483,15600,50041,5063,"1,1,1,1,1,1,1,1,1,1","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",20,20
484,15600,50041,5072,"1,1,1,1,1,1,1,1,1,1","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",20,20
485,15600,50040,5069,"1,1,1,1,0,0,0,0,0,0","1_1_3,1_1_1,1_1_2",8,20
486,15600,50042,5116,"1,1,1,0,1,1,1,0,0,1","2_3_1,2_1_4,2_2_2,2_3_5,2_2_3,3_1_3,3_1_5,3_2_4,3_2_1",14,20
487,15600,50040,5096,"1,1,1,0,0,1,1,0,1,1","1_1_3,1_1_1,1_1_2",14,20
488,15600,50041,5100,"1,1,1,1,1,1,1,0,1,1","2_2_1,2_2_3,2_3_3,2_3_1,2_1_4,3_1_1,3_1_2,3_1_5,3_1_3,3_1_4",18,20
489,15600,50043,5106,"1,1,1,0,1,1,1,1,1,1","2_5_3,2_4_6,2_4_1,2_5_2",18,20
